MLS ID,Sale Price,Close Date,Address,Zip Code,Total Sq. Ft.,Lot Size,Latitude,Longitude,High School,High School Rank,Middle School,Middle School Rank,Elementary School,Elementary School Rank
5368787,319984.0,2021-03-25,5345 Passport VW,80922,1812.0,2396.0,38.8338816,-104.82136340000001,Centennial High School,3,Sky View Middle School,2,Chinook Trail Elementary School,NaN
3525464,320000.0,2021-03-19,4696 Tetman LN,80916,1839.0,4679.0,38.8282973,-104.74101929999999,Community Prep Charter School,3,Carmel Middle School,1,Lewis-Palmer Elementary School,3
7827402,320000.0,2021-03-22,7553 Silver Larch PT,80908,1606.0,1657.0,38.9425847,-104.6920422,Palmer High School,NaN,NaN,3,Antelope Trails Elementary School,2
6348365,320000.0,2021-03-19,5030 Victory RD,80911,1929.0,6000.0,38.7689521,-104.7317455,Atlas Preparatory High School,NaN,Watson Junior High School,NaN,Gold Camp Elementary School,2
8897896,320000.0,2021-03-18,4315 Conquista DR,80916,1504.0,6098.0,38.8178121,-104.7459185,Eastlake High School Of Colorado Springs,NaN,Atlas Preparatory Middle School,3,Scott Elementary School,3
1836163,320000.0,2021-03-10,2960 Rio Vista DR,80917,1380.0,8376.0,38.8743989,-104.7235887,Pikes Peak Early College,NaN,Carmel Middle School,3,Dc Montessori Charter School,4
6898917,323000.0,2021-03-18,4819 Evening Sun LN,80917,2210.0,1920.0,38.882373,-104.737153,Discovery High School,NaN,NaN,1,Chipeta Elementary School,1
4232173,325000.0,2021-03-25,7225 Shawnee WY,80915,1064.0,8800.0,38.8619279,-104.69425720000001,Discovery High School,NaN,Carmel Middle School,3,Columbine Elementary School,2
8146152,325000.0,2021-03-22,3006 Greenwood CR,80910,1308.0,7198.0,38.82879519999999,-104.7730376,Widefield High School,NaN,NaN,1,Chipeta Elementary School,0
8661963,325000.0,2021-03-19,7420 Fortman AV,80817,1427.0,7345.0,38.7245997,-104.6964327,Cheyenne Mountain High School,NaN,Adams City Middle School,3,Legacy Peak Elementary School,3
9761404,325000.0,2021-03-15,1250 CHIRICAHUA DR,80915,1480.0,11000.0,38.85037579999999,-104.70089759999999,Mesa Ridge High School,NaN,Galileo School Of Math And Science,3,Chinook Trail Elementary School,2
8159309,325000.0,2021-03-12,907 prairie RD,80909,1609.0,7500.0,38.8453832,-104.7869864,Discovery High School,NaN,Watson Junior High School,1,Cheyenne Wells Elementary School,1
5641756,326000.0,2021-03-23,5122 Alturas CR,80911,1258.0,8901.0,38.7705223,-104.730424,Atlas Preparatory High School,NaN,Falcon Middle School,NaN,NaN,2
6127261,326288.0,2021-03-16,5394 Passport VW,80922,1812.0,2396.0,38.8338816,-104.82136340000001,Harrison High School,NaN,Mann Middle School,2,Lewis-Palmer Elementary School,NaN
